,Unnamed: 0,Unnamed: 0.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
20,0,,167151,Reunited in the Shower After School - Playtime With My Student,Manga,0,False,Taiyoh Tosho,False,Pass,Pass,False,False,Complete,No,KISAKI Noa,2015,Yes,Renta!,,False,Not rated,Not rated,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,0,,152845,Revenge of a Fierce Princess,Manhua,0,False,,False,Pass,Pass,False,False,Ongoing,No,Chongzhuo comics,2018,Yes,MangaToon,,False,6.1,24,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0,,135014,Reversi (Eun Song),Manhwa,1,False,Lezhin,False,08/17/16,04/01/17,False,False,Unknown,Yes,Eun Song,2016,Yes,Lezhin,,False,8.2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,,51995,Reversible (Anthology),Manga,0,False,Juné,False,Pass,Pass,False,False,Complete,Yes,"Anthology, FUJIMOTO Haruki, HATORI Misora, IKEZAWA Shiori, KAZUHA, KOIZUMI Neri, NISHIOGI Midori, RYUZAKI Goroo, SAITO, TAKAKURA Tomoko, TAKARAI Saki, YONEKURA Kometa",2010,Yes,June,1 Volume - Complete/Digital & Print,False,4.8,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,0,,155072,Reversible Friend,Manga,0,False,,False,Pass,Pass,False,False,Complete,No,KURACHI Mikoto,2019,Yes,Futekiya,Complete; digital,False,7.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,,147059,Revival Blue,Manga,1,False,Media Soft,False,04/20/18,06/03/20,False,False,Complete,Yes,itz,2018.0,Yes,Futekiya,,False,8,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,,89194,Rewind (Lala Sisters),Manhwa,2,False,Daum,False,09/08/14,04/30/15,False,False,Complete,Yes,Lalasister,2012.0,Yes,Tappytoon,,False,7.9,23,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,,134064,Reyes,Manga,0,False,Harlequin,False,Pass,Pass,False,False,Complete,No,AI Marito,2011.0,Yes,"Harlequin K.K., SoftBank Creative",,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,,3549,RG Veda,Manga,2,False,"Kadokawa, Shinshokan",False,08/07/04,06/25/07,False,False,Complete,Yes,"APAPA Mokona, CLAMP",1989.0,Yes,"Dark Horse, TokyoPop","3 Vols - Complete, Expired / 10 Vols - Complete",False,8,250,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
4,0,,24757,Rhysmyth,OEL,0,False,TokyoPop,False,Pass,Pass,False,False,Unknown,No,Lincy Chan,2007.0,Yes,TokyoPop,,False,7,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
5,0,,11772,Ribbon no Kishi,Manga,0,False,"Kodansha, Shogakukan",False,Pass,Pass,False,False,Unknown,Yes,TEZUKA Osamu,1953.0,Yes,Vertical,2 Volumes - Complete,False,7,38,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,,8088,Rica 'tte kanji!?,Manga,0,True,Terra Publications,False,Pass,Pass,False,False,Complete,No,TAKASHIMA Rica,,Yes,ALC,1 Vol - Complete; Digital,False,8.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,0,,21230,Riding Shotgun,OEL,0,False,TokyoPop,False,Pass,Pass,False,False,Unknown,Yes,Tracy Yardley,2006.0,Yes,TokyoPop,,False,6.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
